Labels,בדיקת תאריך עדכון של לשרטוט,סוף,Issue key,התחלה,Σ Time Spent,Custom field (מנהל פרויקט),Custom field (סוג פרויקט),Custom field (סוג פרויקט).1,Custom field (סכום החשבון),Custom field (תשומות - משרד),Custom field (תשומות - שטח),משך בימי עבודה,SLA התחייבות (ימים),תאריך סיום צפוי (SLA),שטח בדונם
16797-05,8/28/2024 7:54,8/28/2024 7:54,PROJ-16433,08/12/2024 15:15,10800,מירי,מדידות לתכנון,,6500,18,18,13,65,11/17/2024 0:00,
17290-03,09/04/2024 08:26,09/04/2024 08:26,PROJ-16424,08/12/2024 13:17,57600,בני,עבודת משרד,,,18,0,18,20,09/09/2024 00:00,
17426,11/19/2024 10:32,11/19/2024 10:32,PROJ-16319,08/08/2024 12:12,94200,מירי לוי,מדידות לתכנון,,106928,0,0,70,65,11/13/2024 0:00,
15403-23-16,12/18/2024 11:33,12/18/2024 11:33,PROJ-16205,08/06/2024 10:46,7200,לימור,מסירת פוליגונים,,4905,9,9,93,93,12/19/2024 0:00,
16481-17-01,8/27/2024 13:19,8/27/2024 13:19,PROJ-16127,08/05/2024 10:20,10800,מירי,סקר עצים,,6256,9,18,17,54,10/24/2024 0:00,
17131-12,9/24/2024 8:13,9/24/2024 8:13,PROJ-16023,08/04/2024 13:15,86400,מירי,איתור תשתיות,,13600,9,9,38,128,02/04/2025 00:00,
15403-72,9/16/2024 14:21,9/16/2024 14:21,PROJ-15977,7/31/2024 14:59,36300,מירי לוי,מדידות לתכנון,,59490,45,63,34,65,11/05/2024 00:00,
17005-10,11/19/2024 8:08,11/19/2024 8:08,PROJ-15962,7/31/2024 12:14,57600,לימור,מדידות לתכנון,,4500,9,9,76,65,11/05/2024 00:00,
16914-09-05,8/14/2024 7:45,8/14/2024 7:45,PROJ-15858,7/28/2024 10:25,22200,מירי לוי,מדידות לתכנון,,3570,3.5,3.5,14,65,10/31/2024 0:00,
16873-06,08/01/2024 15:31,08/01/2024 15:31,PROJ-15798,7/25/2024 14:43,14400,מירי,עבודת משרד,,2800,9,0,6,20,8/22/2024 0:00,
16920-02,12/01/2024 11:56,12/01/2024 11:56,PROJ-15781,7/25/2024 12:08,70200,לימור,מדידות לתכנון,,8050,18,18,88,65,10/30/2024 0:00,
15403-15-04,08/08/2024 11:40,08/08/2024 11:40,PROJ-15700,7/23/2024 10:32,43200,לימור,עדכון מדידה,,3344,9,9,13,32,09/05/2024 00:00,
17248-06,8/26/2024 6:56,8/26/2024 6:56,PROJ-15686,7/23/2024 9:11,39600,נטע,סקר עצים,,,9,9,25,54,10/09/2024 00:00,
17316-01_,7/29/2024 15:23,7/29/2024 15:23,PROJ-15669,7/22/2024 14:55,36000,אלדד,עבודת משרד,,,9,0,6,20,8/19/2024 0:00,
17107-07,8/15/2024 14:56,8/15/2024 14:56,PROJ-15599,7/21/2024 10:24,25200,בני וצלר,מדידות לתכנון,,,0,0,20,65,10/24/2024 0:00,
15349-75,08/12/2024 11:39,08/12/2024 11:39,PROJ-15446,7/16/2024 15:21,18000,מירי לוי,איתור תשתיות,,7800,2.5,4.5,20,128,1/16/2025 0:00,
14274-70-03,7/21/2024 11:23,7/21/2024 11:23,PROJ-15170,07/07/2024 12:58,10800,מירי,סקר עצים,,,2,5,11,54,9/19/2024 0:00,
17411,03/11/2025 13:32,03/11/2025 13:32,PROJ-15133,07/07/2024 08:59,34800,מירי לוי,מדידות לתכנון,,16800,27,27,174,65,10/08/2024 00:00,
17412,8/20/2024 13:16,8/20/2024 13:16,PROJ-15112,07/04/2024 16:20,87900,לימור,מדידות לתכנון,,32000,72,72,34,65,10/07/2024 00:00,
16978-10,7/18/2024 11:53,7/18/2024 11:53,PROJ-15104,07/04/2024 11:50,21600,מירי,מדידות לתכנון,,22200,27,45,11,65,10/07/2024 00:00,
16758-19-01,07/08/2024 11:57,07/08/2024 11:57,PROJ-15062,07/03/2024 11:21,3600,מירי,עבודת משרד,,1500,9,0,4,20,7/31/2024 0:00,
17407,09/08/2024 12:38,09/08/2024 12:38,PROJ-15025,07/02/2024 13:16,26100,מירי לוי,מדידות לתכנון,,,2.5,2.5,49,65,10/01/2024 00:00,
17090-02,07/10/2024 15:13,07/10/2024 15:13,PROJ-14933,6/30/2024 10:04,36900,לימור באואר,מדידת אזמייד,,,9,9,9,9,07/11/2024 00:00,
16957-07,7/25/2024 9:27,7/25/2024 9:27,PROJ-14641,6/19/2024 12:14,69300,מירי לוי,אורתופוטו,פוטוגרמטריה,57700,0,0,27,131,12/25/2024 0:00,
17325,7/15/2024 14:45,7/15/2024 14:45,PROJ-14501,6/17/2024 10:41,68100,מירי לוי,מדידה להיתר,,27900,45,72,21,38,08/08/2024 00:00,
17078-01,6/18/2024 14:52,6/18/2024 14:52,PROJ-14239,06/09/2024 09:04,41700,מירי לוי,מדידה להיתר,,,9,9,6,38,08/04/2024 00:00,
17290-02,09/08/2025 14:23,09/08/2025 14:23,PROJ-14200,06/05/2024 16:55,,לימור באואר,מדידות לתכנון,,,0,0,320,65,09/08/2024 00:00,
15403-31-04-03_,7/24/2024 15:04,7/24/2024 15:04,PROJ-14190,06/05/2024 14:21,157500,מירי לוי,מדידות לתכנון,,43294,54,63,34,65,09/08/2024 00:00,
15403-50-05-01,6/19/2024 11:27,6/19/2024 11:27,PROJ-14133,06/03/2024 12:31,12600,מירי לוי,מדידה להיתר,,,2,4.5,11,38,7/29/2024 0:00,
16364-17-02,6/16/2024 14:31,6/16/2024 14:31,PROJ-14068,5/30/2024 10:52,49200,אשר אברהרד,סקר עצים,,,9,27,10,54,8/18/2024 0:00,
15349-73-02,6/17/2024 13:34,6/17/2024 13:34,PROJ-13720,5/26/2024 18:36,23100,מירי,מדידה להיתר,,,9,9,15,38,7/21/2024 0:00,
17320,12/24/2024 9:35,12/24/2024 9:35,PROJ-13442,5/22/2024 14:35,142200,מירי,איתור תשתיות,,36500,36,36,149,128,11/26/2024 0:00,
16914-20-15-08,7/28/2025 11:45,7/28/2025 11:45,PROJ-13336,5/20/2024 15:14,53700,אלדד פנקס,מדידות לתכנון,,,0,0,302,65,8/21/2024 0:00,
16914-20-15-02,7/28/2025 10:30,7/28/2025 10:30,PROJ-13296,5/20/2024 14:41,33300,אלדד פנקס,מדידות לתכנון,,,0,0,302,65,8/21/2024 0:00,
16914-20-15-01,06/12/2025 10:55,06/12/2025 10:55,PROJ-13284,5/20/2024 11:36,81600,אלדד פנקס,מדידות לתכנון,,,0,0,270,65,8/21/2024 0:00,
17319,3/20/2025 14:51,3/20/2025 14:51,PROJ-13270,5/20/2024 9:33,491100,מירי לוי,מדידות לתכנון,,71700,90,90,213,65,8/21/2024 0:00,180
16914-20-22,6/26/2024 13:43,6/26/2024 13:43,PROJ-13240,5/19/2024 14:18,21600,אלדד פנקס,מדידה להיתר,,,0,0,27,38,7/14/2024 0:00,
16914-20-21,6/27/2024 12:12,6/27/2024 12:12,PROJ-13230,5/19/2024 14:10,26100,אלדד פנקס,מדידה להיתר,,,0,0,28,38,7/14/2024 0:00,
16914-20-20,6/26/2024 11:54,6/26/2024 11:54,PROJ-13221,5/19/2024 14:00,10800,אלדד פנקס,מדידה להיתר,,,0,0,27,38,7/14/2024 0:00,
16914-20-19,6/26/2024 11:04,6/26/2024 11:04,PROJ-13211,5/19/2024 13:49,14400,אלדד פנקס,מדידה להיתר,,,0,0,27,38,7/14/2024 0:00,
16914-20-18,6/25/2024 17:32,6/25/2024 17:32,PROJ-13202,5/19/2024 13:35,14400,אלדד פנקס,מדידה להיתר,,,0,0,26,38,7/14/2024 0:00,
16914-20-17,6/27/2024 14:16,6/27/2024 14:16,PROJ-13192,5/19/2024 12:56,10800,אלדד פנקס,מדידה להיתר,,,0,0,28,38,7/14/2024 0:00,
16914-20-16.2,6/26/2024 12:53,6/26/2024 12:53,PROJ-13182,5/19/2024 12:43,20100,אלדד פנקס,מדידה להיתר,,,0,0,27,38,7/14/2024 0:00,
16758-19,6/20/2024 8:30,6/20/2024 8:30,PROJ-13175,5/19/2024 12:24,153000,0,מדידה להיתר,עדכון מדידה,,9,9,23,38,7/14/2024 0:00,
16873-05,6/13/2024 14:01,6/13/2024 14:01,PROJ-13136,5/16/2024 13:51,98700,מירי לוי,מדידות לתכנון,,,108,90,19,65,8/19/2024 0:00,
16155-10,6/13/2024 10:46,6/13/2024 10:46,PROJ-12983,05/12/2024 12:18,78660,מירי לוי,מדידות לתבע,,,18,9,23,22,6/13/2024 0:00,
16393-96-02-01,5/29/2024 8:43,5/29/2024 8:43,PROJ-12949,05/09/2024 14:37,39600,מירי לוי,מדידות לתכנון,,,9,9,15,65,08/12/2024 00:00,
16961-03,6/27/2024 9:37,6/27/2024 9:37,PROJ-12839,05/07/2024 09:46,34500,לימור באואר,סקר עצים,,,4,4,36,54,7/24/2024 0:00,
17315,10/30/2025 8:42,10/30/2025 8:42,PROJ-12808,05/06/2024 14:08,76500,מירי לוי,מדידה להיתר,,19000,27,27,375,38,07/01/2024 00:00,
17131-06_,12/30/2024 12:58,12/30/2024 12:58,PROJ-12648,4/24/2024 18:23,28800,מירי,איתור תשתיות,,13600,0,0,171,128,10/30/2024 0:00,
17131-07,4/24/2024 11:21,4/24/2024 11:21,PROJ-12513,4/21/2024 9:24,64800,אלדד,עדכון מדידה,,,0,0,1,32,06/12/2024 00:00,
17307,5/28/2024 12:52,5/28/2024 12:52,PROJ-12478,4/18/2024 14:47,382200,מירי לוי,מדידות לתכנון,,,77,27,25,65,7/28/2024 0:00,
16364-36,5/20/2024 13:37,5/20/2024 13:37,PROJ-12406,4/17/2024 13:25,54000,אשר,מדידות לתכנון,,,9,9,20,65,7/25/2024 0:00,
17283-10,7/23/2024 11:12,7/23/2024 11:12,PROJ-12400,4/17/2024 13:06,36600,לימור,מדידות לתכנון,,,27,27,64,65,7/25/2024 0:00,
16473-29-01,8/29/2024 13:55,8/29/2024 13:55,PROJ-12362,4/16/2024 13:42,93600,לימור,איתור תשתיות,,187440,30,30,92,128,10/27/2024 0:00,
17303-01,4/21/2024 14:50,4/21/2024 14:50,PROJ-12325,4/15/2024 14:19,7200,מירי לוי,סימון,,,9,9,5,88,8/25/2024 0:00,
16699-04,06/09/2024 08:15,06/09/2024 08:15,PROJ-12307,4/14/2024 16:26,,לימור,סקר עצים,,5576,9,9,37,54,07/07/2024 00:00,
16823-02-13-02,4/18/2024 11:12,4/18/2024 11:12,PROJ-12175,04/09/2024 10:52,25200,אשר,עבודת משרד,,,5,0,8,20,5/13/2024 0:00,
15403-23-04-06,04/10/2024 15:45,04/10/2024 15:45,PROJ-12081,04/04/2024 11:36,75600,מירי,עדכון מדידה,,,9,0,5,32,5/26/2024 0:00,
16763-13,6/16/2024 15:23,6/16/2024 15:23,PROJ-11938,04/02/2024 10:03,54000,מירי לוי,סקר עצים,,,36,36,48,54,6/25/2024 0:00,
16914-20-14,6/25/2024 17:33,6/25/2024 17:33,PROJ-11857,3/31/2024 15:20,29400,לימור באואר,מדידות לתכנון,,,0,0,57,65,07/08/2024 00:00,
16914-20-13,6/25/2024 17:32,6/25/2024 17:32,PROJ-11851,3/31/2024 15:18,58200,לימור באואר,מדידות לתכנון,,,0,0,57,65,07/08/2024 00:00,
16914-20-12,09/08/2025 10:59,09/08/2025 10:59,PROJ-11845,3/31/2024 15:16,25800,לימור באואר,מדידות לתכנון,,,0,0,364,65,07/08/2024 00:00,
16914-20-10,6/26/2024 12:49,6/26/2024 12:49,PROJ-11833,3/31/2024 15:06,58200,לימור באואר,מדידות לתכנון,,,0,0,58,65,07/08/2024 00:00,
16914-20-08,6/25/2024 15:59,6/25/2024 15:59,PROJ-11821,3/31/2024 14:53,47700,לימור באואר,מדידות לתכנון,,,0,0,57,65,07/08/2024 00:00,
16914-20-06,6/25/2024 10:30,6/25/2024 10:30,PROJ-11809,3/31/2024 14:47,62100,לימור באואר,מדידות לתכנון,,,0,0,57,65,07/08/2024 00:00,
16914-20-05,6/25/2024 11:33,6/25/2024 11:33,PROJ-11803,3/31/2024 14:43,173700,לימור באואר,מדידות לתכנון,,,4,5,57,65,07/08/2024 00:00,
16914-20-04_,6/25/2024 14:56,6/25/2024 14:56,PROJ-11797,3/31/2024 14:38,7800,לימור באואר,מדידות לתכנון,,,0,0,57,65,07/08/2024 00:00,
16914-20-03,6/25/2024 10:55,6/25/2024 10:55,PROJ-11791,3/31/2024 14:32,28800,לימור באואר,מדידות לתכנון,,,0,0,57,65,07/08/2024 00:00,
16914-20-02,6/24/2024 15:34,6/24/2024 15:34,PROJ-11785,3/31/2024 14:26,25500,לימור באואר,מדידות לתכנון,,,0,0,56,65,07/08/2024 00:00,
